date,market_price,total_bitcoins,market_cap,difficulty,transaction_fees,n_unique_addresses,n_transactions_total
2/17/2010 0:00,0,2043200,0,2.527738215,0,241,41240
2/18/2010 0:00,0,2054650,0,2.527738215,0,234,41475
2/19/2010 0:00,0,2063600,0,2.527738215,0,185,41658
2/20/2010 0:00,0,2074700,0,2.527738215,0,224,41882
2/21/2010 0:00,0,2085400,0,2.527738215,0,218,42100
2/22/2010 0:00,0,2098150,0,2.527738215,0,262,42361
2/23/2010 0:00,0,2110700,0,2.527738215,0,252,42613
2/24/2010 0:00,0,2120200,0,3.781179252,0,195,42809
2/25/2010 0:00,0,2127600,0,3.781179252,0,150,42959
2/26/2010 0:00,0,2136100,0,3.781179252,0,176,43135
2/27/2010 0:00,0,2144750,0,3.781179252,0,176,43311
2/28/2010 0:00,0,2152850,0,3.781179252,0,165,43476
3/1/2010 0:00,0,2162150,0,3.781179252,0,187,43663
3/2/2010 0:00,0,2171950,0,3.781179252,0,203,43867
3/3/2010 0:00,0,2179350,0,3.781179252,0,150,44018
3/4/2010 0:00,0,2188450,0,3.781179252,0,187,44205
3/5/2010 0:00,0,2197200,0,3.781179252,0,178,44383
3/6/2010 0:00,0,2206350,0,3.781179252,0,187,44571
3/7/2010 0:00,0,2215000,0,3.781179252,0,177,44749
3/8/2010 0:00,0,2221800,0,4.53108175,0,143,44890
3/9/2010 0:00,0,2229200,0,4.53108175,0,149,45039
3/10/2010 0:00,0,2236650,0,4.53108175,0,153,45191
3/11/2010 0:00,0,2243950,0,4.53108175,0,155,45345
3/12/2010 0:00,0,2249850,0,4.53108175,0,119,45464
3/13/2010 0:00,0,2257750,0,4.53108175,0,160,45624
3/14/2010 0:00,0,2264000,0,4.53108175,0,127,45751
3/15/2010 0:00,0,2270200,0,4.53108175,0,131,45879
3/16/2010 0:00,0,2277000,0,4.53108175,0,138,46017
3/17/2010 0:00,0,2283150,0,4.53108175,0,127,46144
3/18/2010 0:00,0,2290950,0,4.53108175,0,163,46305
3/19/2010 0:00,0,2297600,0,4.53108175,0,140,46449
3/20/2010 0:00,0,2307250,0,4.53108175,0,204,46652
3/21/2010 0:00,0,2316300,0,4.53108175,0,191,46843
3/22/2010 0:00,0,2325150,0,4.56516291,0,184,47029
3/23/2010 0:00,0,2335400,0,4.56516291,0,212,47244
3/24/2010 0:00,0,2344100,0,4.56516291,0,183,47431
3/25/2010 0:00,0,2353400,0,4.56516291,0,196,47628
3/26/2010 0:00,0,2363150,0,4.56516291,0,204,47841
3/27/2010 0:00,0,2371850,0,4.56516291,0,183,48023
3/28/2010 0:00,0,2381550,0,4.56516291,0,197,48221
3/29/2010 0:00,0,2391150,0,4.56516291,0,199,48426
3/30/2010 0:00,0,2401700,0,4.56516291,0,214,48643
3/31/2010 0:00,0,2412050,0,4.56516291,0,209,48856
4/1/2010 0:00,0,2421500,0,6.085476906,0,195,49054
4/2/2010 0:00,0,2428900,0,6.085476906,0,152,49209
4/3/2010 0:00,0,2437200,0,6.085476906,0,173,49380
4/4/2010 0:00,0,2445500,0,6.085476906,0.26,172,49555
4/5/2010 0:00,0,2453800,0,6.085476906,0,176,49734
4/6/2010 0:00,0,2461050,0,6.085476906,0,175,49909
4/7/2010 0:00,0,2470700,0,6.085476906,0,203,50116
4/8/2010 0:00,0,2480450,0,6.085476906,0,209,50324
4/9/2010 0:00,0,2489300,0,6.085476906,0,190,50513
4/10/2010 0:00,0,2501300,0,6.085476906,0,302,50807
4/11/2010 0:00,0,2513250,0,6.085476906,0,269,51078
4/12/2010 0:00,0,2524100,0,7.819796993,0,259,51348
4/13/2010 0:00,0,2532350,0,7.819796993,0,182,51538
4/14/2010 0:00,0,2542350,0,7.819796993,0,233,51768
4/15/2010 0:00,0,2552650,0,7.819796993,0,277,52055
4/16/2010 0:00,0,2562750,0,7.819796993,0,231,52289
4/17/2010 0:00,0,2573250,0,7.819796993,0,236,52531
4/18/2010 0:00,0,2586500,0,7.819796993,0,1346,53868
4/19/2010 0:00,0,2597350,0,7.819796993,0,2286,56164
4/20/2010 0:00,0,2607600,0,7.819796993,0,234,56406
4/21/2010 0:00,0,2618650,0,7.819796993,0,241,56657
4/22/2010 0:00,0,2627500,0,11.46431581,0,207,56867
4/23/2010 0:00,0,2635000,0,11.46431581,0,192,57065
4/24/2010 0:00,0,2642350,0,11.46431581,0,184,57256
